ID,name,organism,desc,source
MER0003620,cercarial elastase,Schistosoma sp.,,
MER0003629,MecR1 g.p.,Staphylococcus sp.,,
MER0003630,Cma2 g.p.,Mus musculus,,
MER0003631,kallikrein-related peptidase 8,Mus musculus,[S01.244]#S01A#{peptidase unit: 85-309},EDL22681
MER0003634,granzyme-like protein III,Rattus norvegicus,,
MER0003635,kallikrein 1-related peptidase c4,Rattus norvegicus,,
MER0003636,hepatocyte growth factor-like protein homologue,Gallus gallus,[S01.977]#S01A#{peptidase unit: 435-704},Q90865
MER0003638,calobin,Gloydius ussuriensis,[S01.335]#S01A#{peptidase unit: 25-255},VSP1_AGKCA
MER0003640,mucofibrase 4,Protobothrops mucrosquamatus,[S01.344]#S01A#{peptidase unit: 25-250},VSP2_TRIMU
MER0003641,ovochymase domain 3,Xenopus laevis,[S01.245]#S01A#{peptidase unit: 1292-1518},Q91674
MER0003643,try-3 g.p.,Caenorhabditis elegans,,
MER0003645,kallikrein-related peptidase 10,Homo sapiens,[S01.246]#S01A#{peptidase unit: 35-276},KLKA_HUMAN
MER0003648,kallikrein 1-related peptidase c3,Rattus norvegicus,,
MER0003649,mucofibrase 5,Protobothrops mucrosquamatus,[S01.345]#S01A#{peptidase unit: 25-250},VSP5_TRIMU
MER0003651,ananain,Ananas comosus,[C01.026]#C01A#{peptidase unit: 123-337},ANAN_ANACO
MER0003656,cpz-2 g.p.,Caenorhabditis elegans,,
MER0003657,tag-329 g.p.,Caenorhabditis elegans,,
MER0003658,F57F5.1 g.p.,Caenorhabditis elegans,,
MER0003659,R09F10.1 g.p.,Caenorhabditis elegans,,
MER0003661,F15D4.4 g.p.,Caenorhabditis elegans,,
MER0003667,axp peptidase,Yarrowia lipolytica,,
MER0003668,aspergillopepsin I,Aspergillus saitoi,[A01.016]#A01A#{peptidase unit: 73-394},PEPA_ASPSA
MER0003669,yapsin-3,Saccharomyces cerevisiae,[A01.035]#A01A#{peptidase unit: 43-397},YL12_YEAST
MER0003674,K10C2.3 protein,Caenorhabditis elegans,,
MER0003675,Mername-AA045 peptidase,Bos taurus,[A01.052]#A01A#{peptidase unit: 1-78},Q29452
MER0003676,C15C8.3 g.p.,Caenorhabditis elegans,,
MER0003678,asp-2 g.p.,Caenorhabditis elegans,,
MER0003679,F28A12.4 g.p.,Caenorhabditis elegans,,
MER0003688,mycosin-1,Mycobacterium tuberculosis,[S08.131]#S08A#{peptidase unit: 42-398},ZP_03422481
MER0003699,trypsin,Petromyzon-type,,
MER0003705,"jonah 25Bi, isoform A",Drosophila melanogaster,,
MER0003706,trypsin-like protein,mouse-type,,
MER0003707,trypsin 5,mouse numbering,,
MER0003708,trypsin 8,mouse numbering,,
MER0003710,trypsin 9,mouse numbering,,
MER0003711,trypsin 10,mouse numbering,,
MER0003712,trypsin 11,mouse numbering,,
MER0003713,trypsin 12,mouse numbering,,
MER0003714,trypsin 16,mouse numbering,,
MER0003717,ancrod,Calloselasma rhodostoma,[S01.178]#S01A#{peptidase unit: 1-229},VSP1_AGKRH
MER0003720,CG18125 g.p.,Drosophila melanogaster,,
MER0003727,trypsin 15,mouse numbering,,
MER0003728,trypsin 4,Mus musculus,and similar,
MER0003731,CG11912 protein,Drosophila melanogaster,,
MER0003732,CG11911 protein,Drosophila melanogaster,,
MER0003735,matriptase,Homo sapiens,[S01.302]#S01A#{peptidase unit: 615-855},ST14_HUMAN
MER0003736,epitheliasin,Homo sapiens,[S01.247]#S01A#{peptidase unit: 256-491},TMPS2_HUMAN
MER0003746,W07B8.4 g.p,Caenorhabditis elegans,,
MER0003750,At2g34080,Arabidopsis thaliana,,
MER0003752,maize insect resistant 1 g.p.,Zea mays,,
MER0003756,cathepsin W,Homo sapiens,[C01.037]#C01A#{peptidase unit: 127-364},CATW_HUMAN
MER0003759,papain homologue,Archaeoglobus-type,,
MER0003770,ykuR g.p.,Bacillus subtilis,,
MER0003772,YhfN peptidase,Bacillus subtilis,[M48.009]#M48A#{peptidase unit: 143-421},YHFN_BACSU
MER0003775,ylmB g.p.,Bacillus subtilis,,
MER0003779,membrane-anchored metallopeptidase,Xenopus laevis,,
MER0003798,yodQ g.p.,Bacillus subtilis,,
MER0003800,ybbE,Bacillus subtilis,,
MER0003802,pbpX g.p.,Bacillus subtilis,,
MER0003805,murein peptidase LytF,Bacillus subtilis,[C40.002]#C40#{peptidase unit: 376-488},O07532
MER0003807,YddH peptidase,Bacillus subtilis,[C40.007]#C40#{peptidase unit: 212-329},YDDH_BACSU
MER0003808,CwlS peptidase,Bacillus sp.,,
MER0003812,signal peptide peptidase,Bacillus-type,,
MER0003813,sublancin 168 lantibiotic transporter,Bacillus subtilis,,
MER0003815,At1g51760,Arabidopsis thaliana-type peptidase,,
MER0003816,adm-2 g.p.,Caenorhabditis elegans,,
MER0003817,EGL-21 peptidase,Caenorhabditis elegans,[M14.033]#M14B#{peptidase unit: 30-361},O17754
MER0003819,nas-8 g.p.,Caenorhabditis elegans,,
MER0003820,Prp peptidase,Staphylococcus aureus,,
MER0003821,ADM-4 peptidase,Caenorhabditis elegans,,
MER0003823,F44E7.4 g.p.,Caenorhabditis elegans,,
MER0003824,Mername-AA052 peptidase,Helicobacter pylori,[M48.008]#M48A#{peptidase unit: 141-407},O25144
MER0003825,aminopeptidase A/I,Helicobacter-type,,
MER0003831,nas-32 g.p.,Caenorhabditis elegans,,
MER0003833,nas-27 g.p.,Caenorhabditis elegans,,
MER0003850,HtrA peptidase,Helicobacter-type,,
MER0003855,collagenase,Helicobacter-type,,
MER0003859,Lon-B peptidase,Methanothermobacter thermautotrophicus,[S16.005]#S16#{peptidase unit: 391-633},LON1_METTH
MER0003880,methionyl aminopeptidase,archaean-type,,
MER0003889,aortic carboxypeptidase-like protein,Homo sapiens,[M14.951]#M14B#{peptidase unit: 554-1009},AEBP1_HUMAN
MER0003902,ADAM8 peptidase,Homo sapiens,[M12.208]#M12B#{peptidase unit: 196-400},NP_001100
MER0003906,LytM glycyl-glycine endopeptidase,Staphylococcus aureus,,
MER0003908,carboxypeptidase MeCPA,Metarhizium anisopliae,[M14.014]#M14A#{peptidase unit: 108-418},O14418
MER0003909,insulysin homologue,Saccharomyces cerevisiae,,
MER0003912,ADAM1 g.p.,Homo sapiens,,
MER0003916,BG:DS00365.1 protein,Drosophila melanogaster,,
MER0003918,CG6696 protein,Drosophila melanogaster,,
MER0003919,Mername-AA040 peptidase,Homo sapiens,[M17.005]#M17#{peptidase unit: 1-373},HS241701
MER0003940,At5g25752 rhomboid peptidase,Arabidopsis thaliana,[S54.025]#S54#{peptidase unit: 80-280},BAF00010
MER0003947,At2g24280,Arabidopsis thaliana,,
MER0003952,F44F1.1 g.p.,Caenorhabditis elegans,,
MER0003956,clec-119 g.p.,Caenorhabditis elegans,,
MER0003962,At4g36190,Arabidopsis thaliana,,
MER0003969,AT5g65760,Arabidopsis thaliana,,
MER0003972,nas-14 g.p.,Caenorhabditis elegans,,
MER0003975,bean yellow mosaic virus-type NIa peptidase,,[C04.008]#C04#{peptidase unit: 2020-2264},POLG_BYMV
MER0003981,serpin B8,Homo sapiens,[I04.013]#I04#{inhibitor unit: 1-374},SPB8_HUMAN
MER0003986,PgdS peptidase,Bacillus subtilis,[C40.005]#C40#{peptidase unit: 169-286},PGDS_BACSU
MER0003989,ubiquitinyl hydrolase-BAP1,Homo sapiens,[C12.004]#C12#{peptidase unit: 3-237},Q92560
MER0004009,legumain,plant alpha form,,
MER0004015,USP34 peptidase,Drosophila melanogaster,,
MER0004017,rye grass mosaic virus NIa peptidase,,[C04.012]#C04#{peptidase unit: 1998-2241},O11436
MER0004030,yam mosaic virus NIa peptidase,,[C04.006]#C04#{peptidase unit: 196-440},Q98810
MER0004031,human enterovirus 71 3C peptidase,,[C03.014]#C03A#{peptidase unit: 1549-1731},POLG_HE71B
MER0004035,spr peptidase,Escherichia coli,[C40.004]#C40#{peptidase unit: 73-183},SPR_ECOLI
MER0004042,calpain-9,Homo sapiens,[C02.006]#C02A#{peptidase unit: 67-320},CAN9_HUMAN
MER0004046,W05G11.4 g.p.,Caenorhabditis elegans,,
MER0004054,YdhO protein,Escherichia coli,,
MER0004069,shallot potyvirus NIa peptidase,,[C04.007]#C04#{peptidase unit: 135-378},Q85103
MER0004070,potato virus A NIa peptidase,,[C04.014]#C04#{peptidase unit: 2030-2274},Q85197
MER0004085,sfericase,Lysinibacillus sphaericus,[S08.113]#S08A#{peptidase unit: 100-434},O54327
MER0004086,htrA,Bacillus subtilis-type,,
MER0004090,EcHS_A2566 protein,Escherichia coli,,
MER0004091,Pic peptidase,Shigella flexneri,[S06.005]#S06#{peptidase unit: 56-774},PIC_SHIFL
MER0004093,HtrA2 peptidase,Homo sapiens,[S01.278]#S01C#{peptidase unit: 182-334},HRA2_HUMAN
MER0004097,platelet-aggregating venom peptidase,Bothrops jararaca,[S01.180]#S01A#{peptidase unit: 6-231},VSP1_BOTJA
MER0004101,At2g16570,Arabidopsis thaliana,,
MER0004111,HtrA stress response protease,Brucella-type,,
MER0004113,KPC2-type peptidase,Caenorhabditis elegans,[S08.109]#S08B#{peptidase unit: 129-472},NP_001023732
MER0004115,EspC peptidase,Escherichia coli,[S06.010]#S06#{peptidase unit: 55-780},ESPC_ECO27
MER0004123,AprX peptidase,Bacillus sp.,,
MER0004128,K10C2.1 g.p.,Caenorhabditis elegans,,
MER0004133,crotalase,Crotalus adamanteus,[S01.177]#S01A#{peptidase unit: 28-89},CROTALAS
MER0004146,MhpC protein,Escherichi coli,,
MER0004149,HtrA peptidase,Borrelia burgdorferi,and similar,
MER0004152,SplB peptidase,Staphylococcus aureus,,
MER0004153,SplC peptidase,Staphylococcus aureus,,
MER0004154,AmpH protein,Escherichia-type,,
MER0004160,SprE glutamyl peptidase,Enterococcus faecalis,[S01.423]#S01B#{peptidase unit: 51-272},Q47809
MER0004161,nothepsin,Chionodraco hamatus,[A01.045]#A01A#{peptidase unit: 70-402},O57572
MER0004165,iRhom2,Mus musculus,[S54.953]#S54#{peptidase unit: 373-827},RHDF2_MOUSE
MER0004182,peptidase Clp,type 6,,
MER0004189,herpesvirus 8-type assemblin,,[S21.006]#S21#{peptidase unit: 10-249},P88911
MER0004193,dpf-2 g.p.,Caenorhabditis elegans,,
MER0004194,Y7A9A.1 g.p.,Caenorhabditis elegans,,
MER0004195,ctpB peptidase,Bacillus subtilis,[S41.007]#S41A#{peptidase unit: 211-380},O35002
MER0004196,CtpA peptidase,Borrelia-type,,
MER0004199,dpf-1 g.p.,Caenorhabditis elegans,,
MER0004202,gamma-glutamyltransferase,Synechocystis-type,,
MER0004219,pcp-1 g.p.,Caenorhabditis elegans,,
MER0004220,acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase precursor,Penicillium chrysogenum,[C45.001]#C45#{peptidase unit: 103-357},AAAA_PENCH
MER0004224,penicillin-binding protein 4,Staphylococcus-type peptidase,,
MER0004227,PREPL A protein,Homo sapiens,[S09.015]#S09A#{peptidase unit: 418-720},PPCEL_HUMAN
MER0004231,Hip1 peptidase,Mycobacterium tuberculosis,,
MER0004236,Lon-2 peptidase,bacteria,,
MER0004240,physarolisin,Physarum polycephalum,[S53.006]#S53#{peptidase unit: 173-575},Q8MZS4
MER0004241,tetravirus coat protein,,[N02.001]#N02#{peptidase unit: 1-644},Q4TVV1
MER0004243,aminopeptidase Ey,Gallus gallus,[M01.016]#M01#{peptidase unit: 300-516},O57579
MER0004244,RCE1 peptidase,Saccharomyces cerevisiae-type,,
MER0004246,RCE1 peptidase,Homo sapiens-type,,
MER0004247,dipeptidyl-peptidase III,Saccharomyces-type,,
MER0004255,jararafibrase II,Bothrops jararaca,,
MER0004276,kallidin-releasing enzyme,Bitis arietans,,
MER0004305,Lit peptidase,Escherichia coli,[U49.001]#U49#{peptidase unit: 1-297},LIT_ECOLI
MER0004306,bacteriophage Cp-1 orf13 protein,,[C108.002]#C108#{peptidase unit: 2-104},Q37998
MER0004310,AtUBP4 peptidase,Arabidopsis thaliana,and similar,
MER0004311,Ubp3 ubiquitin peptidase,plant-type,,
MER0004312,multactivase,Echis multisquamatus,[M12.177]#M12B#{peptidase unit: 5-27},PC4420
MER0004314,ubiquitin-specific peptidase 9Y,Homo sapiens,[C19.028]#C19#{peptidase unit: 1521-1969},FAFY_HUMAN
MER0004316,ubp6,Schizosaccharomyces pombe-type,,
MER0004321,aminopeptidase P1,Homo sapiens,[M24.009]#M24B#{peptidase unit: 317-574},XPP1_HUMAN
MER0004347,PBE2 g.p.,Arabidopsis thaliana,,
MER0004363,prtH peptidase,Tannerella forsythensis ATCC 43037,,
MER0004364,porcine endogenous retrovirus peptidase,,[A02.020]#A02A#{peptidase unit: 530-626},Q9Q1X5
MER0004372,proteasome subunit alpha 7,Homo sapiens,[T01.974]#T01A#{peptidase unit: 24-232},PSA7_HUMAN
MER0004373,proteasome subunit beta2,Drosophila melanogaster,,
MER0004378,endogenous retrovirus retropepsin pseudogene 11,Homo sapiens chromosome 17,,
MER0004380,multiple-sclerosis-associated retrovirus retropepsin,,[A02.019]#A02A#{peptidase unit: 16-113},O36580
MER0004391,salmobin,Gloydius halys,[S01.338]#S01A#{peptidase unit: 25-253},O73800
MER0004392,matrix metallopeptidase-21,Xenopus laevis,[M10.026]#M10A#{peptidase unit: 196-388},O93470
MER0004393,halystase,Gloydius halys,[S01.253]#S01A#{peptidase unit: 2-232},AFM29142
MER0004403,endogenous retrovirus retropepsin pseudogene 21,Homo sapiens,,
MER0004410,PhTET2 aminopeptidase,Pyrococcus furiosus,[M42.004]#M42#{peptidase unit: 1-348},Q8U0N9
MER0004416,yrrN g.p.,Bacillus subtilis,,
MER0004419,BSSC8_09230 g.p.,Bacillus subtilis,,
MER0004423,ymfH g.p.,Bacillus subtilis,,
MER0004427,HetR putative peptidase,Anabaena variabilis,[S48.001]#S48#{peptidase unit: 1-299},HETR_ANASP
MER0004433,TESP1 protein,Mus musculus,[S01.985]#S01A#{peptidase unit: 68-308},O70169
MER0004434,TESP2 peptidase,Mus musculus,,
MER0004437,cathepsin V,Homo sapiens,[C01.009]#C01A#{peptidase unit: 113-334},CSL2_HUMAN
MER0004439,ubiquitin-specific peptidase 10,Homo sapiens,[C19.018]#C19#{peptidase unit: 388-798},UBPA_HUMAN
MER0004442,intestinal serine peptidase,rodent,,
MER0004445,csp-1 g.p.,Caenorhabditis elegans,,
MER0004450,caspase-13,Bos taurus,[C14.017]#C14A#{peptidase unit: 100-377},Q5E9C1
MER0004451,VMC peptidase,Vibrio mimicus,[M09.004]#M09A#{peptidase unit: 228-491},O67990
MER0004452,Zmp-3,Caenorhabditis elegans,,
MER0004453,Zmp-2 peptidase,Caenorhabditis sp.,,
MER0004454,paraplegin,Homo sapiens,[M41.006]#M41#{peptidase unit: 522-795},SPG7_HUMAN
MER0004455,silicatein,Tethya aurantium,[C01.988]#C01A#{peptidase unit: 115-316},O76238
MER0004457,Zmp-1 peptidase,Caenorhabditis-type,,
MER0004458,site 2 peptidase,Homo sapiens,[M50.001]#M50A#{peptidase unit: 1-519},MS2P_HUMAN
MER0004461,At4g20310-like peptidase,Arabidopsis thaliana,[M50.009]#M50B#{peptidase unit: 40-469},NP_001154255
MER0004466,MjS2P-type peptidase,Methanocaldococcus jannaschii,[M50.006]#M50B#{peptidase unit: 10-289},Y392_METJA
MER0004468,RasP peptidase,Bacillus subtilis,,
MER0004469,protein Rv2869c,Mycobacterium tuberculosis-type peptidase,,
MER0004471,ARASP g.p.,Arabidopsis thaliana,,
MER0004474,AraSP peptidase,Arabidopsis-type,,
MER0004480,RseP peptidase,Escherichia coli,"[M50.004]#M50B#{peptidase unit: 12-202, 280-413}",ECFE_ECOLI
MER0004504,dipeptidyl peptidase 4,Aspergillus-type,,
MER0004505,kallikrein-related peptidase 6,Mus musculus,[S01.236]#S01A#{peptidase unit: 48-270},EDL22684
MER0004508,cathepsin X,Homo sapiens,[C01.013]#C01A#{peptidase unit: 57-302},CATZ_HUMAN
MER0004514,aminopeptidase AC,Aeromonas caviae,[M28.004]#M28E#{peptidase unit: 145-393},O82996
MER0004515,granulovirus cathepsin,,[C01.047]#C01A#{peptidase unit: 123-333},CATV_GVCP
MER0004516,SlSBT3 g.p.,Solanum lycopersicum,,
MER0004528,iRhom1,Homo sapiens,[S54.952]#S54#{peptidase unit: 403-855},Q9H6E1
MER0004532,PH0974 dipeptidase,Pyrococcus horikoshii,[M24.034]#M24B#{peptidase unit: 127-354},O58691
MER0004537,signal peptidase sipX,Streptomyces lividans,[S26.025]#S26A#{peptidase unit: 72-259},O86869
MER0004566,tequila peptidase,Drosophila melanogaster,[S01.461]#S01A#{peptidase unit: 2541-2782},Q9VSU2
MER0004597,At4g30920,Arabidopsis thaliana,,
MER0004598,At4g30910,Arabidopsis thaliana,,
MER0004607,carboxypeptidase-like protein X2,Mus musculus,[M14.953]#M14B#{peptidase unit: 316-753},CPX2_MOUSE
MER0004613,XCP1 peptidase,Arabidopsis-type,,
MER0004614,epralysin,Pseudomonas fluorescens,[M10.060]#M10B#{peptidase unit: 65-234},O66388
MER0004615,At4g30810,Arabidopsis thaliana,,
MER0004626,EciP lantibiotic leader peptidase,Staphylococcus epidermidis,,
MER0004641,At4g34980,Arabidopsis thaliana,,
MER0004652,At2g19170/At4g30020/At2g19170,Arabidopsis thaliana,,
MER0004653,At2g22970,Arabidopsis thaliana,,
MER0004655,At4g22050,Arabidopsis thaliana,,
MER0004658,type 4 prepilin peptidase 2,Escherichia coli,[A24.003]#A24A#{peptidase unit: 1-155},HOPD_ECOLI
MER0004661,banana streak virus peptidase,,[A03.003]#A03A#{peptidase unit: 1054-1134},O72700
MER0004663,AtUBP1 peptidase,Arabidopsis thaliana,,
MER0004673,Htra2 peptidase,Mycobacterium-type,,
MER0004682,At2g22990,Arabidopsis thaliana,,
MER0004683,At2g23000,Arabidopsis thaliana,,
MER0004684,At2g23010,Arabidopsis thaliana,,
MER0004689,Yps1 protein,Schizosaccharomyces pombe,,
MER0004690,PfSUB1 peptidase,Plasmodium falciparum,[S08.012]#S08A#{peptidase unit: 332-690},O61142
MER0004695,metallopeptidase II,Bacteroides fragilis,,
MER0004696,MarP peptidase,Mycobacterium tuberculosis,,
MER0004698,ywhC g.p.,Bacillus subtilis,,
MER0004711,aureolysin,Staphylococcus aureus,[M04.009]#M04#{peptidase unit: 210-509},AURE_STAAU
MER0004720,antigen Pen c 1-type peptidase,Penicillium cyclopium,[S08.062]#S08A#{peptidase unit: 1-280},PCYC
MER0004725,ADAM20 peptidase,Homo sapiens,[M12.218]#M12B#{peptidase unit: 203-399},AD20_HUMAN
MER0004726,ADAM21 peptidase,Homo sapiens-type,,
MER0004731,V4-7 g.p.,Dictyostelium discoideum,,
MER0004735,DKEY-157L19.1-001 g.p.,Brachydanio rerio,,
MER0004744,griselysin,Streptomyces griseus,[M04.017]#M04#{peptidase unit: 1-320},JE0231
MER0004751,Melmoth transposon peptidase,Brassica oleracea,[A11.005]#A11A#{peptidase unit: 389-499},O23741
MER0004752,Evelknievel retrotransposon peptidase,Arabidopsis thaliana,[A11.004]#A11A#{peptidase unit: 318-445},O49142
MER0004761,T06D4.3 g.p.,Caenorhabditis elegans,,
MER0004762,NEP-2 peptidase,Caenorhabditis sp.,,
MER0004763,F18A12.4 g.p.,Caenorhabditis elegans,,
MER0004765,prosemin,Rattus norvegicus,[S01.252]#S01A#{peptidase unit: 50-292},NP_001100454
MER0004766,matrix metallopeptidase-23B,Homo sapiens,[M10.022]#M10A#{peptidase unit: 77-253},MMP23_HUMAN
MER0004775,Zmp1 peptidase,Mycobacterium-type,,
MER0004778,ZK970.1 g.p.,Caenorhabditis elegans,,
MER0004801,urease,Klebsiella aerogenes,[M38.982]#M38#{peptidase unit: 88-434},URE1_KLEAE
MER0004834,ubiquitin-specific peptidase 2,Homo sapiens,[C19.013]#C19#{peptidase unit: 205-605},UBP2_HUMAN
MER0004847,ClpP2 peptidase,Streptomyces-type,,
MER0004851,necepsin-1,Caenorhabditis elegans,[A01.053]#A01A#{peptidase unit: 54-391},O76830
MER0004855,At1g66670,Arabidopsis thaliana-type peptidase,,
MER0004857,ClpP1 peptidase,Streptomyces-type,,
MER0004861,kallikrein-related peptidase 11,Homo sapiens,[S01.257]#S01A#{peptidase unit: 54-282},KLK11_HUMAN
MER0004869,AIR3 peptidase,Arabidopsis thaliana,"[S08.119]#S08A#{peptidase unit: 128-364, 467-615}",O82440
MER0004877,eupitrilysin,Homo sapiens,[M16.009]#M16C#{peptidase unit: 96-243},O95204
MER0004893,DmpA aminopeptidase,Ochrobactrum anthropi,[P01.001]#P01#{peptidase unit: 250-375},Q59632_OCHAN
MER0004904,PFD0680c g.p.,Plasmodium falciparum,,
MER0004905,At4g16190,Arabidopsis thaliana-type peptidase,,
MER0004909,At4g16640,Arabidopsis thaliana,,
MER0004910,megsin,Homo sapiens,[I04.012]#I04#{inhibitor unit: 1-380},AAI06745
MER0004914,prtB g.p.,Myxococcus xanthus,,
MER0004915,vascular apoptosis-inducing protein 1,Crotalus atrox,[M12.186]#M12B#{peptidase unit: 195-395},Q9DGB9
MER0004921,K02F2.1 protein,Caenorhabditis elegans,,
MER0004923,dipeptidyl-peptidase 9,Homo sapiens,[S09.019]#S09B#{peptidase unit: 571-860},DPP9_HUMAN
MER0004925,glutamyl endopeptidase C,Arabidopsis thaliana,[S09.021]#S09D#{peptidase unit: 650-911},CGEP_ARATH
MER0004928,Mername-AA047 peptidase,Gadus morhua,[A01.055]#A01A#{peptidase unit: 1-324},PEP1_GADMO
MER0004931,hyperthermophile prolidase,Pyrococcus furiosus,[M24.008]#M24B#{peptidase unit: 120-348},PEPQ_PYRFU
MER0004932,syncephapepsin,Syncephalastrum racemosum,[A01.042]#A01A#{peptidase unit: 77-394},CARP_SYNRA
MER0004933,bothropasin,Bothrops jararaca,[M12.140]#M12B#{peptidase unit: 192-394},O93523
MER0004935,miltpain,Oncorhynchus keta,[C01.093]#C01A#{peptidase unit: 1-15},MILT_ONCKE
MER0004939,carinactivase,Echis carinatus,[M12.172]#M12B#{peptidase unit: 1-32},G1438812
MER0004951,mocarhagin,Naja mossambica,[M12.173]#M12B#{peptidase unit: 1-24},Q10749
MER0004953,Ply500 L-Ala-D-Glu peptidase,,[M15.021]#M15C#{peptidase unit: 6-289},AEPE_BPA50
MER0004954,ycdD g.p.,Bacillus subtilis,,
MER0004957,Ply118 L-Ala-D-Glu peptidase,,[M15.020]#M15C#{peptidase unit: 1-281},AEPE_BPA18
MER0004959,metallocarboxypeptidase D peptidase unit 2,Anas platyrhynchos,[M14.016]#M14B#{peptidase unit: 502-906},AS25126
MER0004961,metallocarboxypeptidase D peptidase unit 1,Anas platyrhynchos,[M14.011]#M14B#{peptidase unit: 38-489},AS25126
MER0004964,metallocarboxypeptidase D non-peptidase unit,Homo sapiens,[M14.950]#M14B#{peptidase unit: 923-1119},CBPD_HUMAN
MER0004967,angiotensin-converting enzyme peptidase unit 1,Homo sapiens,[M02.001]#M02#{peptidase unit: 30-583},ACE_HUMAN
MER0004971,peptidyl-dipeptidase A,Theromyzon-type,,
MER0004975,insect gut carboxypeptidase-1,Helicoverpa armigera,[M14.024]#M14A#{peptidase unit: 110-425},O97434
MER0004977,prophenoloxidase-activating peptidase-I,Holotrichia diomphalia,[S01.204]#S01A#{peptidase unit: 110-365},O97366
MER0004978,ubiquitin-specific peptidase 1,Homo sapiens,[C19.019]#C19#{peptidase unit: 43-785},UBP1_HUMAN
MER0004980,cathepsin F,Homo sapiens,[C01.018]#C01A#{peptidase unit: 270-484},CATF_HUMAN
MER0004981,napsin A,Homo sapiens,[A01.046]#A01A#{peptidase unit: 65-394},NAP1_HUMAN
MER0004982,napsin B pseudogene,Homo sapiens,[A01.P01]#A01A#{peptidase unit: 65-394},Q9UHB3
MER0004988,site-1 peptidase,Cricetulus griseus,[S08.063]#S08A#{peptidase unit: 179-473},MS1P_CRIGR
MER0004996,SPCC1442.06 g.p.,Schizosaccharomyces pombe,,
MER0005016,Haly-2 peptidase,Gloydius-type,,
MER0005018,mast cell peptidase 3,Rattus,,
MER0005029,gamma-glutamyltransferase,nematode ,,
MER0005034,peptidase C1,Glycine max,[S08.097]#S08A#{peptidase unit: 130-589},NP_001237585
MER0005037,M1 aminopeptidase,Plasmodium spp.,,
MER0005045,tricorn interacting factor F2,Thermoplasma acidophilum,[M01.020]#M01#{peptidase unit: 200-398},TRF2_THEAC
MER0005046,tricorn interacting factor F3,Thermoplasma acidophilum,[M01.021]#M01#{peptidase unit: 194-392},TRF3_THEAC
MER0005068,psychrophilic alkaline metallopeptidase,Pseudomonas sp.,,
MER0005070,At1g24140,Arabidopsis thaliana-like peptidase,,
MER0005075,At1g59970-type peptidase,Arabidopsis thaliana,[M10.038]#M10A#{peptidase unit: 141-334},Q9ZUJ5
MER0005078,subtilisin-like peptidase 3,Microsporum-type,,
MER0005081,arginyl peptidase,Lysobacter enzymogenes,[S01.281]#S01E#{peptidase unit: 259-455},O87544
MER0005084,SUP-17 peptidase,Caenorhabditis elegans,and similar,
MER0005089,At1g65630,Arabidopsis thaliana,,
MER0005090,At1g65640,Arabidopsis thaliana,,
MER0005093,Deg5 chloroplast peptidase,Arabidopsis thaliana,[S01.441]#S01C#{peptidase unit: 131-296},DEGP5_ARATH
MER0005094,Deg2 chloroplast peptidase,Arabidopsis thaliana,[S01.279]#S01C#{peptidase unit: 144-300},O82261
MER0005100,ADAMTS3 peptidase,Homo sapiens,[M12.220]#M12B#{peptidase unit: 251-460},ATS3_HUMAN
MER0005101,ADAMTS4 peptidase,Homo sapiens,[M12.221]#M12B#{peptidase unit: 213-428},ATS4_HUMAN
MER0005102,ADAM22 protein,Homo sapiens,[M12.978]#M12B#{peptidase unit: 235-438},ADA22_HUMAN
MER0005103,ADAM23 protein,Homo sapiens,[M12.979]#M12B#{peptidase unit: 295-496},A2RU59
MER0005109,ADAM7 protein,Homo sapiens,[M12.956]#M12B#{peptidase unit: 195-394},AD07_HUMAN
MER0005112,brevilysin H6,Gloydius halys,[M12.022]#M12B#{peptidase unit: 192-394},Q9YI20
MER0005113,brevilysin L4,Gloydius halys,[M12.326]#M12B#{peptidase unit: 23-228},Q90WC0
MER0005120,nas-12 g.p.,Caenorhabditis elegans,,
MER0005123,NAS-1 peptidase,Caenorhabditis elegans,,
MER0005124,vertebrate tolloid-like 1 protein,Homo sapiens,[M12.016]#M12A#{peptidase unit: 154-344},O43897
MER0005125,xolloid,Xenopus laevis,[M12.015]#M12A#{peptidase unit: 159-349},O57382
MER0005131,Mername-AA063 peptidase,Saccharomyces cerevisiae,[M28.006]#M28E#{peptidase unit: 120-374},Q04033
MER0005139,C35C5.2 g.p.,Caenorhabditis elegans,,
MER0005149,R57.1 g.p.,Caenorhabditis elegans,,
MER0005152,transferrin receptor 2 protein,Homo sapiens,[M28.973]#M28B#{peptidase unit: 353-621},TFR2_HUMAN
MER0005155,At5g54140,Arabidopsis thaliana,,
MER0005158,At1g67420,Arabidopsis thaliana,,
MER0005160,PhTET1 aminopeptidase,Pyrococcus horikoshii,[M42.003]#M42#{peptidase unit: 2-332},O58255
MER0005163,Mername-AA028 peptidase,Pyrococcus horikoshii,"[M20.009]#M20D#{peptidase unit: 8-169, 284-385}",O58754
MER0005169,PhTET3 aminopeptidase,Pyrococcus horikoshii,[M42.009]#M42#{peptidase unit: 9-354},O59485
MER0005173,At1g44350,Arabidopsis thaliana-type peptidase,,
MER0005196,prolyl tripeptidyl peptidase,Porphyromonas gingivalis,[S09.017]#S09B#{peptidase unit: 478-727},NP_905526
MER0005199,ADAM3B protein,Homo sapiens-type,,
MER0005200,ADAM3A g.p.,Homo sapiens,,
